Label,Value
2836,243.33
3220,119.925
2708,430.869
2452,358.063
3156,283.642
2644,134.025
3412,167.638
2900,378.161
2260,129.433
3284,177.926
2772,135
2516,126.884
3028,442.653
2612,302.432
2356,319.993
3380,137.198
2228,547.885
3252,162.717
2740,338.255
2484,217.55
2996,98.5497
3188,114.82
2420,275.331
2292,130.808
3316,145.926
2804,330.881
3060,221.677
3084,71.1952
2572,373.984
2316,247.638
3340,284.738
2828,180.939
3212,116.022
2700,550.517
2444,204.259
2956,269.867
3148,239.939
2636,175.198
2380,129.525
3404,177.744
2892,156.961
2252,243.583
3276,303.574
2508,316.11
3020,407.037
3116,224.134
2604,268.656
2348,233.372
3372,135.691
2860,422.836
3244,48.2944
2732,602.608
2476,205.344
3180,187.935
2668,206.325
2924,465.931
2284,275.637
3308,127.898
2796,214.23
2540,248.263
3052,177.58
3100,105.734
2588,204.573
2332,206.119
3356,112.404
2844,754.556
3228,39.6553
3164,91.5724
2652,156.375
2396,98.8495
3420,489.982
2908,300.525
2268,93.0823
3292,165.553
2780,148.984
2524,231.371
3036,186.997
3132,373.612
2364,146.603
3388,93.8458
2236,136.03
3260,145.831
2748,411.546
2492,450.387
3196,168.706
2684,287.863
2428,384.305
2940,394.616
2300,555.381
3324,198.862
2812,276.264
2556,298.316
3068,113.539
3074,238.616
2306,421.957
3330,187.22
2818,247.304
3202,154.619
2690,410.902
2434,258.268
2946,144.509
3138,197.778
2626,457.986
2370,273.301
3394,161.096
2882,280.302
2242,504.33
3266,180.126
2754,297.935
2498,262.531
3010,318.255
3106,370.971
2594,461.69
2338,241.544
3362,158.352
2850,450.772
3234,133.064
2722,232.077
2466,350.89
2978,108.021
3170,240.749
2658,193.164
2914,220.555
2274,165.464
3298,197.997
2786,245.738
2530,226.061
3042,305.178
3090,346.078
2578,265.245
2322,141.427
3346,115.555
2834,229.344
3218,283.018
2706,212.34
2450,142.083
2962,461.435
3154,341.965
2642,254.11
3410,12.1167
2898,94.543
2258,324.644
3282,115.652
2770,134.515
2514,138.18
3026,201.488
2610,115.094
2354,323.271
3378,112.733
2866,151.703
2226,432.622
3250,138.707
2738,229.229
2482,291.665
2994,99.2212
3186,282.13
2418,136.502
2930,363.344
3314,187.142
2802,270.021
2546,159.352
